species,CXD_0801_FDSW210423161-1r,CXD_0802_FDSW210423162-1r,CXD_0803_FDSW210423163-1r,CXD_0804_FDSW210423164-1r,CXD_0805_FDSW210423165-1r,CXD_0807_FDSW210423167-1r,CXD_1001_FDSW210423173-1r,CXD_1003_FDSW210423175-1r,CXD_1004_FDSW210423176-1r,CXD_1007_FDSW210423179-1r,CXD_1009_FDSW210423181-1r,CXD_1015_FDSW210423187-1r,CXD_1201_FDSW210423188-1r,CXD_1202_FDSW210423189-1r,CXD_1203_FDSW210423190-1r,CXD_1213_FDSW210423200-1r,CXD_1214_FDSW210423201-1r,CXD_1215_FDSW210423202-1r,CXD_0204_FDSW210423206-1r,CXD_0209_FDSW210423211-1r,CXD_0210_FDSW210423212-1r,CXD_0213_FDSW210423215-1r,CXD_0214_FDSW210423216-1r,CXD_0215_FDSW210423217-1r,CXD_1401_FDSW210423218-1r,CXD_1402_FDSW210423219-1r,CXD_1408_FDSW210423225-1r,CXD_1412_FDSW210423229-1r,CXD_1414_FDSW210423231-1r,CXD_1415_FDSW210423232-1r,CXD_1604_FDSW210423236-1r,CXD_1609_FDSW210423241-1r,CXD_1610_FDSW210423242-1r,CXD_1611_FDSW210423243-1r,CXD_1612_FDSW210423244-1r,CXD_1613_FDSW210423245-1r
Abra nitida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9296777,0,0,0,0,0,0,0
Acartia pacifica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.62403135
Achnanthidium sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.84386173,0,0,0,0,0,0,0,0,0,0,0,0,0
Acoelopelophila lutheri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.4807232
Alaria nana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.451549108,0
Alexandrium ostenfeldii,0,0,0,0,0,0,0,0,0,0,0,0,0,1.474762248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandrium pseudogonyaulax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.725859143,0,0,0,0,0,0
Alexandrium tamarense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.050803651,0,0,0,0,0,0,8.039311381,0,0
Alitta succinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.8996792,265.2544972,0,0,0,0,0,0
Amaranthus hypochondriacus,0,0,0,0,0,0,0,0,0,0,0,0,0,7.373811238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphiprora alata,0,0,0,0,0,0,0,0,0,0,0,18.56549796,0,0,12.41766154,15.20007239,0,20.21637043,0,0,0,12.0475978,22.19649242,16.44155487,0,0,0,0,0,0,0,0,0,0,0,0
Amphiprora paludosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.17086175,102.4045813,0,101.3895883,0,0,0,0,0,0,0,0,0,0,0,0
Amphora caribaea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.13089396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amphora coffeiformis,0,0,0,0,0,0,53.9795391,136.398931,0,0,0,0,50.63598214,41.29334293,0,0,0,0,0,0,0,39.15469286,97.10965432,43.84414631,0,0,0,0,0,0,0,0,0,0,0,0
Amphora obtusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.40296323,0,0,0,0,0,0,0,0,0,0
Anomoeoneis sphaerophora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.31040421,0,0,0,0,0,0,0,0,0,0,0
Apteryx australis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.927580598
Aspergillus fumigatus,0,0,0,0,0,0,0,1.099991379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asterionella glacialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.80010858,51.82661843,0,0,0,0,0,0,0,0,9.120888969,0,0,0,0,0,0,0,0,0,0
Attheya longicornis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.08543087,42.16659231,92.94781199,24.6623323,0,0,0,0,0,0,0,0,0,0,0,0
Attheya ussurensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.15479606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaria paxillifer,0,0,0,0,0,0,0,47.2996293,0,0,0,0,0,0,0,0,0,0,0,0,0,57.22608957,52.71666949,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillariophyta sp.,46.4914255,0,72.66690465,41.94674517,43.58714392,0,0,0,53.34781615,0,0,0,38.7216334,32.44476945,0,0,0,0,49.65379082,0,0,147.5830731,115.1443044,38.36362802,118.7035255,42.56414852,0,0,0,0,0,0,0,0,0,0
Barantolla lepte,0,0,0,0,0,266.5877976,0,90.19929308,0,0,656.5416948,0,0,0,0,0,51.82661843,0,0,0,0,0,0,0,0,0,0,56.50686992,0,0,0,0,0,0,825.9096899,0
Bellerochea malleus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3574,0,51.82661843,0,0,0,0,0,24.97105397,0,0,27.36266691,0,0,0,0,0,0,0,0,0,0
Berkeleya sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.95665461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biecheleria cincta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.64736931,0,0,0,12.2032146,0,0,0,0,0,0,0,0,0
Biremis sp. (in: diatoms),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.16754639,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastophysa rhizopus,0,0,0,0,0,0,0,28.59977585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bradypodion sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.81571615,0,0,0,0,0
Campylodiscus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.38753077,0,17.27553948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylodiscus thuretii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.40014477,0,31.76858211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centropages abdominalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.52207692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.15941926,0,0,0,0
Chorisquilla excavata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42193086,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromadora sp. 201794557,0,0,0,0,0,0,0,50.59960343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.66044746,0,0,0,0,0,0,0,0,0
Chromadorita leuckarti,0,0,0,0,0,17.38616071,0,48.39962068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladophora sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55221168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climaconeis riddleae,0,0,0,0,0,0,0,0,0,0,0,0,0,29.49524495,0,0,0,0,0,0,0,0,0,0,30.4368014,0,0,0,0,0,0,0,0,0,0,0
Codium cylindricum,0,0,0,0,0,18.83500744,0,20.8998362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craticula cf. cuspidata KEL-2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.20007239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craticula cuspidata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.82992267,0,36.60964381,0,0,0,0,0,0,0,0,0
Cruoriaceae sp. LC-2010,0,0,0,0,0,0,0,1.099991379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cryothecomonas sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.13374353,112.2910066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyclopoida environmental sample,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.58947725,0,0,0,0,0,0,0,50.76780739,0,0,0,0,0
Cylindrotheca closterium,0,0,0,0,98.07107383,0,368.8601838,613.7951895,127.7539808,0,0,0,774.432668,728.5325503,980.9952616,944.9378334,971.7490956,297.4694506,511.1419643,524.0322083,647.0408487,1623.413804,1564.852715,1142.688063,721.3521933,676.4659319,507.9588078,382.8340437,127.8392633,127.4766759,154.975412,0,0,112.5503593,0,139.0600784
Cylindrotheca sp.,0,0,45.2454312,0,0,0,25.49033791,76.99939653,0,0,0,0,62.55033088,47.19239192,68.29713847,150.7340512,126.6872895,38.9887144,52.57460205,53.12107317,157.9983468,189.7496654,296.8780861,193.1882697,82.17936379,117.0514084,76.27009126,19.77740447,0,0,25.38390369,0,0,0,0,0
Cymatopleura elliptica,0,0,0,0,0,0,0,0,0,0,0,0,92.33620272,94.38478385,121.0722,148.2007058,224.5820132,83.75353465,0,78.96375741,0,174.6901682,56.87851182,76.72725604,0,0,0,50.85618292,0,0,0,0,0,0,0,0
Cymatopleura solea,0,0,0,0,0,0,0,0,0,0,0,0,47.65739495,48.66715417,62.0883077,73.46701654,66.22290133,0,0,97.62791825,0,108.4283802,99.88421587,71.24673775,0,48.64474117,0,39.55480894,0,0,0,0,0,0,0,0
Cymbella affinis,0,0,0,0,0,0,0,19.79984482,0,0,0,0,62.55033088,0,0,30.40014477,0,43.32079378,32.12892347,0,0,72.28558682,0,35.62336887,27.39312126,54.72533381,70.16848396,0,0,0,0,0,0,0,0,0
Daptonema acanthospiculum,0,0,0,0,0,0,0,19.79984482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.16754639,38.36362802,0,0,0,0,0,0,0,0,0,26.7977046,0,26.34822538
Daptonema setosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.08329616,55.49123104,0,0,0,0,0,0,0,0,0,0,0,0,0
Detonula confervacea,0,0,0,0,0,0,0,0,0,0,0,128.6323787,0,0,0,60.80028955,0,0,0,0,0,0,0,0,0,0,0,0,69.24626763,0,0,0,45.01058868,0,0,0
Dickieia ulvacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.17086175,606.8977394,879.536012,141.1233459,0,0,0,0,0,0,0,0,0,0,0,0
Dinophysis acuminata,0,0,0,0,0,0,0,0,0,0,11.56901665,15.91328396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diopatra aciculata,0,0,0,0,0,0,0,67.09947412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diplolaimelloides environmental sample,0,0,0,0,0,0,0,30.79975861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drepanopeziza brunnea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.656623077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Drosophila melanogaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0477044,0,0,0,0,0,0,0,0,0,0
Elphidium margaritaceum,0,0,0,0,0,0,0,0,0,0,0,0,32.76445903,0,105.5501231,32.93349017,54.70587501,28.88052919,17.52486735,0,18.05695392,0,0,0,0,0,0,0,0,0,0,0,0,0,24.53197099,0
Elphidium williamsoni,0,0,19.19503142,0,0,0,17.9931797,17.59986206,36.50113737,0,0,0,53.61456932,47.19239192,37.25298462,40.53352637,25.91330922,0,17.52486735,0,0,36.14279341,72.13860035,54.80518288,73.04832337,72.96711175,42.71125111,0,0,0,0,0,0,0,0,0
Encyonema minutum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67182238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomoneis cf. alata,0,0,0,0,0,0,0,0,0,0,0,0,58.0824501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomoneis paludosa,0,0,0,0,0,0,0,0,0,0,0,0,0,92.9100216,65.19272308,68.40032574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entomoneis sp.,0,0,0,0,0,0,88.46646686,98.99922411,0,0,0,21.21771195,844.4294668,1380.377464,1727.607162,1043.738304,1215.046277,690.2446476,156.2634005,325.9049624,117.3702005,219.8686599,255.2596628,191.8181401,51.74256239,152.0148161,51.86366206,0,0,0,0,0,0,0,0,0
Equus caballus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.150572762,0,0,1.406580896,0,0,0
Ethmolaimus pratensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.9581289,77.68772346,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurytemora pacifica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.81285841,0,0,0,0,0,0,0,0,0
Euterpina acutifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.4480501,0,0,0,0,0,0,155.5909862,0,0,0,0,0,0,0,0,0
Fragilariaceae sp. 1 MPA-2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.06930018,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastrodia flavilabella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.699426151,0,0
Geissleria decussis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.80921164,0,30.4368014,0,0,0,0,0,0,0,0,0,0,0
Glabratella patelliformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.20338657
Gomphonema affine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.84386173,0,0,0,0,0,0,0,0,0,0,0,0,0
Gossypium hirsutum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.825343496,0,0,0,0,0,1.33988523,0,0
Gyrosigma acuminatum,0,0,0,0,0,0,0,208.998362,0,0,0,0,0,0,52.77506154,0,0,0,0,0,0,18.07139671,0,0,0,0,0,118.6644268,0,0,0,0,0,0,0,0
Gyrosigma fasciola,0,0,0,0,0,0,0,21.99982758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gyrosigma limosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.38015244,0,0,0,0,0,0,0,0
Halamphora americana,0,0,0,0,0,0,0,0,0,0,0,0,0,539.7629826,709.3589154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halamphora bicapitata,0,0,0,0,0,0,0,21.99982758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halamphora calidilacuna,0,0,0,0,0,0,0,0,0,0,0,0,428.9165546,0,0,488.9356618,464.9999376,345.1223238,0,206.7414739,0,382.5112303,463.3517792,284.986951,0,0,0,0,0,0,0,0,0,0,0,0
Halamphora coffeaeformis,0,0,0,0,0,0,0,28.59977585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Halamphora montana,0,0,0,0,0,0,0,30.79975861,0,0,0,0,0,0,0,35.46683557,0,0,0,0,0,121.9819278,97.10965432,54.80518288,0,0,0,0,0,0,0,0,0,0,0,0
Halamphora nagumoi,0,0,0,0,0,0,0,19.79984482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haliotis discus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.104415385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haslea cf. howeana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.33816742,0
Haslea howeana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.46683557,37.43033553,0,0,0,0,0,41.61842328,41.10388716,39.56784183,39.5238522,0,0,0,0,0,0,0,0,0,0
Haslea nipkowii,0,0,0,0,0,0,0,28.59977585,0,0,0,0,0,0,270.0841385,0,0,0,67.17865817,31.58550296,0,341.8505877,714.4495997,221.9609907,0,0,0,0,0,0,0,0,0,0,0,0
Haslea sp.,0,0,0,0,0,0,0,0,0,0,0,0,44.67880777,0,31.04415385,0,0,0,0,0,0,0,0,0,0,51.68503749,93.04951134,0,0,0,0,0,0,0,0,0
Haynesina orbiculare,0,0,0,0,0,0,41.98408597,50.59960343,0,0,0,0,95.31478991,29.49524495,31.04415385,27.86679938,0,0,29.20811225,0,0,87.34508408,30.52017707,52.06492374,115.6598453,51.68503749,51.86366206,0,0,0,48.09581753,0,0,0,0,0
Hediste atoka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.74488516,4102.841357,2115.597762,0,0,0,0,0,0
Hediste diadroma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.42809146,304.9499094,159.6677556,0,0,0,0,0,0
Hediste japonica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.95206097,351.5579741,90.13502333,0,0,0,0,0,0
Helarctos malayanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.626323585,0,0,0
Heterokontophyta sp. 1 SEH-2013,0,0,0,0,0,0,17.9931797,80.29937067,0,0,0,0,144.4614785,97.33430834,83.81921539,129.2006153,132.4458027,17.32831751,151.8821837,80.39946209,192.6075084,239.4460063,227.5140473,264.4350074,240.4507311,179.3774831,108.3035296,19.77740447,0,0,32.06387835,0,0,10.71908184,0,0
Heteromastus filiformis,0,0,0,0,0,544.7663689,0,138.5989138,0,0,2276.204025,0,0,0,0,0,103.6532369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1358.798615,0
Heteromastus sp.,0,0,0,0,0,179.656994,0,38.49969826,0,0,456.9761576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.33221341,0,0,0,0,0,0,591.4930782,0
Homo sapiens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.68795945,0,0,0,0,0
Hucho taimen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.517849176,5.549123104,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyalosira tropicalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.49123104,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypodontolaimus inaequalis,0,0,0,0,32.69035794,0,38.98522268,243.0980948,58.96337574,0,0,29.17435394,44.67880777,122.4052666,142.8031077,0,0,0,77.40149746,70.34952933,0,0,41.61842328,0,0,33.44325955,131.184557,31.07877845,0,0,0,0,50.63691227,0,0,0
Idyanthidae sp. DZMB628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.33509277,0,0,0,0,0,0,0,0,0,0,0,0,0
Ixodes scapularis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.011899451,15.26008854,0,0,0,0,0,0,0,0,0,0,0,0,0
Koliella antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.14285059,0,0,0,0,0,0,0,0,0,0,0,0
Kryptoperidinium foliaceum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.40259144,100.4414446,0,0,0,0,0,0,0,0,0,0,0
Lampriscus shadboltianum,0,0,0,0,0,0,0,39.59968964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithodesmium undulatum,0,0,0,0,0,0,0,0,0,0,0,0,29.78587185,0,0,0,0,0,0,0,0,33.13089396,27.74561552,0,36.52416169,36.48355588,0,0,0,0,0,0,0,0,0,0
Litinium sp. Nem.116,0,0,0,0,0,0,0,14.29988793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.87280776,0,0,0,0,0,0,0,40.07984794,0,0,0,27.25774554,17.56548359
Lodderomyces elongisporus,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32333573,7.761038462,0,8.637769739,0,0,0,0,15.05949725,4.161842328,0,0,0,0,0,0,0,0,0,0,0,0,0
Lottia gigantea,0,79.94233785,0,59.21893435,72.19120713,107.2146577,56.97840238,72.59943101,56.15559595,93.43078935,99.78276859,95.47970379,59.57174369,35.39429394,58.98389231,96.26712512,92.13621055,63.53716422,73.02028062,89.01369017,135.4271544,99.39268188,74.91316191,123.3116615,44.13336204,54.72533381,213.5562555,182.2346555,162.4623971,126.1890327,72.14372629,167.2101408,118.1527953,99.15150704,89.95056028,79.04467613
Mastobranchus sp. ST2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.06394197,0
Melanothamnus japonicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.87128119,27.36266691,0,0,0,0,0,0,0,0,0,0
Melosira sp.,0,0,0,0,0,0,0,17.59986206,0,0,0,0,64.03962447,82.58668587,27.93973846,54.46692605,74.86067107,34.65663503,0,0,0,39.15469286,26.35833474,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesocyclops edax,0,0,0,0,0,0,0,0,0,0,0,0,0,2.949524495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metadesmolaimus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.8030818,0,0,0,0,0,0,0,0,0,0,0,0,0
Metschnikowia bicuspidata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.110388716,0,0,0,0,0,0,0,0,0,0,0,0
Minidiscus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.64750095,0,0,0
Minidiscus spinulosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.13161793,18.75839322,29.98352009,0
Minidiscus trioculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.50529434,34.83701599,0,0
