Species,FDMP22H001643-1a_L1_CXD_0801,FDMP22H001643-1a_L1_CXD_0802,FDMP22H001643-1a_L1_CXD_0803,FDMP22H001643-1a_L1_CXD_0804,FDMP22H001643-1a_L1_CXD_0805,FDMP22H001643-1a_L1_CXD_0806,FDMP22H001643-1a_L1_CXD_0807,FDMP22H001643-1a_L1_CXD_0808,FDMP22H001643-1a_L1_CXD_0809,FDMP22H001643-1a_L1_CXD_0810,FDMP22H001643-1a_L1_CXD_0811,FDMP22H001643-1a_L1_CXD_0812,FDMP22H001643-1a_L1_CXD_1001,FDMP22H001970-1a_L1_CXD_1002,FDMP22H001970-1a_L1_CXD_1003,FDMP22H001970-1a_L1_CXD_1004,FDMP22H001643-1a_L1_CXD_1005,FDMP22H001643-1a_L1_CXD_1006,FDMP22H001643-1a_L1_CXD_1007,FDMP22H001643-1a_L1_CXD_1008,FDMP22H001643-1a_L1_CXD_1009,FDMP22H001643-1a_L1_CXD_1010,FDMP22H001970-1a_L1_CXD_1011,FDMP22H001643-1a_L1_CXD_1012,FDMP22H001970-1a_L1_CXD_1013,FDMP22H001970-1a_L1_CXD_1014,FDMP22H001970-1a_L1_CXD_1015,FDMP22H001970-1a_L1_CXD_1201,FDMP22H001643-1a_L1_CXD_1202,FDMP22H001643-1a_L1_CXD_1203,FDMP22H001643-1a_L1_CXD_1204,FDMP22H001643-1a_L1_CXD_1205,FDMP22H001643-1a_L1_CXD_1206,FDMP22H001643-1a_L1_CXD_1207,FDMP22H001970-1a_L1_CXD_1208,FDMP22H001643-1a_L1_CXD_1209,FDMP22H001643-1a_L1_CXD_1210,FDMP22H001643-1a_L1_CXD_1211,FDMP22H001643-1a_L1_CXD_1212,FDMP22H001643-1a_L1_CXD_1213,FDMP22H001643-1a_L1_CXD_1214,FDMP22H001643-1a_L1_CXD_1215,FDMP22H001643-1a_L1_CXD_0202,FDMP22H001643-1a_L1_CXD_0203,FDMP22H001643-1a_L1_CXD_0204,FDMP22H001643-1a_L1_CXD_0205,FDMP22H001643-1a_L1_CXD_0206,FDMP22H001643-1a_L1_CXD_0207,FDMP22H001644-1a_L1_CXD_0208,FDMP22H001644-1a_L1_CXD_0209,FDMP22H001644-1a_L1_CXD_0210,FDMP22H001644-1a_L1_CXD_0211,FDMP22H001644-1a_L1_CXD_0212,FDMP22H001644-1a_L1_CXD_0213,FDMP22H001644-1a_L1_CXD_0214,FDMP22H001644-1a_L1_CXD_0215,FDMP22H001644-1a_L1_CXD_1401,FDMP22H001644-1a_L1_CXD_1402,FDMP22H001644-1a_L1_CXD_1403,FDMP22H001644-1a_L1_CXD_1404,FDMP22H001644-1a_L1_CXD_1405,FDMP22H001644-1a_L1_CXD_1406,FDMP22H001644-1a_L1_CXD_1407,FDMP22H001644-1a_L1_CXD_1408,FDMP22H001644-1a_L1_CXD_1409,FDMP22H001644-1a_L1_CXD_1410,FDMP22H001644-1a_L1_CXD_1411,FDMP22H001644-1a_L1_CXD_1412,FDMP22H001644-1a_L1_CXD_1413,FDMP22H001644-1a_L1_CXD_1414,FDMP22H001644-1a_L1_CXD_1415,FDMP22H001644-1a_L1_CXD_1601,FDMP22H001644-1a_L1_CXD_1602,FDMP22H001644-1a_L1_CXD_1603,FDMP22H001644-1a_L1_CXD_1604,FDMP22H001644-1a_L1_CXD_1605,FDMP22H001644-1a_L1_CXD_1606,FDMP22H001644-1a_L1_CXD_1607,FDMP22H001644-1a_L1_CXD_1608,FDMP22H001644-1a_L1_CXD_1609,FDMP22H001644-1a_L1_CXD_1610,FDMP22H001644-1a_L1_CXD_1611,FDMP22H001644-1a_L1_CXD_1612,FDMP22H001644-1a_L1_CXD_1613,FDMP22H001644-1a_L1_CXD_1614
Stephanodiscaceae,476,381,209,200,232,318,343,484,167,175,231,241,263,260,248,197,154,364,288,331,115,166,465,198,686,646,370,211,123,171,201,271,139,122,335,138,201,180,98,84,45,122,140,157,58,62,106,113,0,8,19,25,0,9,0,14,22,29,11,19,35,19,18,21,10,0,14,9,17,60,43,19,15,59,32,40,13,14,0,35,55,104,72,46,12
Stephanoecidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephanoecidae_Group_H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stramenopiles_X-Group-6_XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stramenopiles_XXXX,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0,0,5,0,0,2,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Strobilidiidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,9,0,0,3,5,10,7,6,0
Strombidiidae,200,473,178,168,145,233,157,155,163,140,276,309,76,188,152,101,163,185,144,185,36,116,616,153,226,178,198,90,112,90,80,139,61,34,196,110,51,83,22,26,73,109,45,59,35,29,107,103,6,5,25,42,20,10,36,23,45,21,38,14,81,47,42,65,49,35,153,121,264,54,307,56,36,129,43,147,60,48,15,127,140,66,142,32,150
Strombidinopsidae,63,127,399,42,44,24,43,59,71,22,29,39,39,310,58,58,8,5,22,36,13,72,58,29,175,903,575,124,21,29,33,52,42,17,108,38,73,67,126,7,8,2,11,17,26,7,13,5,21,88,15,13,0,0,26,6,30,15,3,29,82,65,53,27,12,23,198,59,183,86,135,372,83,2198,126,162,22,30,37,44,126,73,174,120,0
Stygamoebida_XX,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Subulatomonas-lineage,762,625,2888,1043,540,472,845,536,275,239,617,411,237,127,127,156,1315,359,1051,468,141,529,223,191,1132,909,275,252,254,184,251,147,98,113,482,410,175,135,297,89,135,108,188,103,47,133,240,143,31,42,80,55,51,29,17,71,48,53,148,77,156,172,93,245,156,27,48,109,58,91,114,67,181,270,84,222,212,194,83,1112,115,125,132,95,533
Suctoria_X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0
Suessiaceae,258,2087,902,1238,432,247,335,192,404,248,193,283,117,160,141,205,388,187,234,174,120,553,310,133,393,474,280,204,240,132,166,96,112,202,278,182,60,276,136,126,96,62,103,89,95,151,103,97,73,60,131,86,48,41,68,90,53,80,135,83,153,59,111,334,119,81,108,268,237,192,330,89,156,272,159,293,121,126,82,834,170,163,152,92,833
Suessiales_X,0,6,7,0,0,9,0,0,0,15,0,2,0,9,12,3,7,8,0,0,0,7,50,12,24,53,48,13,7,0,11,4,7,15,32,0,3,6,4,0,0,0,2,0,0,8,3,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,6,3,6,14,26,26,6,18,10,0,0,0,0,0,0,0,5,9,0,0,5,0,0
Surirellaceae,1850,1616,1431,1952,1963,1775,1297,1863,1955,1391,2038,2155,1029,749,1013,1071,1444,1269,1137,1883,1043,1375,1825,1326,1612,1273,1572,1757,1894,1439,1464,2057,2022,1818,3412,1815,1929,1577,1328,1678,1763,1671,1613,2236,1788,2366,2582,2329,1421,1402,1028,2278,1796,2274,1934,2265,1006,2016,2304,957,1367,1475,876,1059,2110,1995,2070,2372,1356,1744,3077,803,1145,1195,660,1364,1332,2513,640,3099,1080,1547,1042,895,2953
Symbiodiniaceae,0,16,13,20,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,18,8,0,0,0,0,0,0,0,0
Symbiomonaceae,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synchromophyceae_XX,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Synuraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,3,0,13,0,0,0,0,0
TAGIRI1-lineage,55,51,32,32,16,102,28,50,0,26,53,0,17,21,0,0,29,43,25,66,11,38,20,0,95,36,32,24,12,32,16,30,12,0,0,13,22,31,22,8,38,50,34,0,3,0,13,15,28,12,22,0,5,28,65,36,17,5,0,13,17,0,0,20,41,39,52,42,40,37,93,7,23,0,9,9,30,32,14,79,21,23,23,19,42
Teleostei,3,0,0,0,6,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,12,0,0,0,0,0,0,2,0,0,1054
Telonemia-Group-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,3,0,0,0,0,7,2,0
Tetramitia_VI_X,0,0,6,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassionemataceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thalassiosiraceae,3125,3184,4154,2278,1314,2173,2191,1858,1818,2101,2442,3160,2282,1857,2309,1499,1805,2174,2793,1896,1667,5515,4407,2147,4535,4579,4993,1810,1593,1770,2047,1711,1771,1654,3701,1667,2683,2217,3098,1921,1108,1649,1748,1357,1285,1573,1775,1720,490,263,559,595,348,436,727,927,2284,2598,936,1462,740,281,365,326,737,622,989,1499,3108,3239,4824,1316,1654,1516,1168,1374,1253,1532,701,2973,7184,7121,3802,4376,1450
Thaumatomonadida_X,45,47,13,51,65,40,25,46,29,9,23,20,34,75,10,29,11,0,44,45,7,31,32,17,40,77,42,55,27,60,42,43,36,21,36,17,31,10,8,32,34,45,83,41,35,44,46,22,26,8,59,61,48,42,53,138,44,77,21,37,31,9,32,29,11,9,5,17,9,0,0,17,16,10,26,25,11,9,0,24,12,37,0,9,17
Thaumatomonadidae,14,4,0,3,17,6,12,11,0,5,18,13,15,18,0,0,10,12,15,31,0,24,13,12,48,36,5,8,12,0,22,12,11,14,25,17,10,0,0,0,2,4,0,15,0,0,10,0,0,4,0,0,0,0,0,6,12,8,0,0,0,0,0,0,3,0,0,8,0,10,19,0,3,0,0,0,0,0,0,9,17,0,8,0,7
Thigmophryidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Thoracosphaeraceae,283,385,348,283,156,295,209,157,398,184,143,272,96,183,64,79,80,133,228,265,49,416,398,36,446,334,291,86,47,109,39,0,72,64,210,103,0,82,144,59,24,45,123,20,57,86,36,13,40,40,0,14,0,0,45,10,41,114,15,8,0,33,0,20,32,6,170,236,279,424,737,18,11,59,0,14,46,15,69,110,171,317,151,77,115
Thraustochytriaceae,6,3,7,5,15,9,10,4,8,22,8,14,6,0,0,0,0,0,0,0,9,31,11,8,24,26,6,3,0,3,11,2,0,6,8,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,3,4,0,0,0,2,2,0,0,0,2,6,0,0,0,4,0,6,0,15,5,4,0
TIN_01,2,0,0,4,0,0,0,0,0,0,0,14,7,16,21,26,0,6,6,7,4,0,10,8,22,11,11,0,0,7,3,3,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,0,0,29
TIN_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,26,5,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0
TIN_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,7,0,0,0,0,0,0,4,0,0,0,3,0,0,0,9,10,10,0,0,0,0,0,0,0,0,5,16,20,13,3,7,18,27,18,7,9,0,18,163,126,156,30,0
TIN_05,13,0,0,0,0,9,6,0,0,8,0,9,6,0,0,0,0,0,6,0,0,0,12,0,51,9,0,2,0,0,5,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,0
TIN_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
TIN_07,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
TIN_08,5,0,12,8,9,16,7,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIN_09,0,0,0,3,0,0,0,0,0,17,0,6,5,0,0,0,12,0,0,5,0,45,0,7,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,7,73,7,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
TIN_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,147
TIN_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tintinnidiidae,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,29,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,20,0,0,21,0,4,3,2,0,5,0,0,4,0,0,7,5,6,7,0,0
Trebouxiophyceae_XX,0,5,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tremulidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
Trichostomatia_X,0,10,0,0,0,0,4,3,6,0,0,0,0,0,0,0,0,0,7,2,0,0,0,8,9,32,0,0,0,0,0,5,0,8,13,0,5,4,4,0,0,2,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,4,40,0,0,181,0,2,0,0,3,2,0,0,7,5,0,2,0,0,0,0,0,3,0,0,0,0,0
Trichotokaridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trimyemidae,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinematidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ulnariaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulotrichales_X,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ulvales-relatives_X,2,0,9,5,10,2,0,3,7,0,5,6,0,5,6,0,0,4,0,0,0,0,4,0,0,6,3,6,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,0,9,0,0,5,0,8,8,0,11,16,0,0,19,0,0,0,3,339,9,2,11,75,21,3,61,9,12,5,10,14,0
Urostylidae,0,3,2,0,0,0,0,0,0,0,0,3,0,8,0,4,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Urotrichidae,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Vaginicolidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0
Vahlkampfiidae_III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vannellidae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ventricleftida_X,109,62,47,108,98,83,58,66,106,93,122,173,77,39,21,30,121,74,46,46,39,76,152,75,160,170,112,175,200,161,197,241,355,321,645,283,255,241,82,270,199,143,119,131,109,173,234,202,22,18,25,44,89,86,66,49,29,73,44,32,31,100,34,34,115,118,40,80,106,67,7,39,82,50,29,111,139,86,25,77,91,30,73,62,68
Ventrifissuridae,149,256,159,161,147,196,117,150,155,191,131,220,134,254,150,180,204,147,103,215,57,384,279,128,504,417,232,185,156,112,90,151,54,97,232,80,100,139,76,46,44,78,61,68,38,81,63,51,21,19,42,76,27,20,76,131,68,90,24,76,25,0,6,0,4,0,30,55,37,39,136,19,14,11,7,31,8,25,0,51,31,52,5,19,107
Vermamoebidae,2245,1418,3222,1944,363,93,382,211,296,126,300,434,84,31,22,75,67,0,69,19,49,62,103,73,104,49,88,118,76,20,160,149,79,23,538,431,121,108,80,75,128,20,74,29,23,43,32,55,23,15,75,45,32,6,18,68,57,278,337,54,0,123,2,12,0,0,0,0,0,10,14,9,0,0,0,5,0,0,0,7,0,0,0,0,333
Vermistella-lineage,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0
Verrucomonadidae,0,0,0,2,0,10,5,2,3,0,0,0,0,0,12,0,4,0,0,16,4,0,0,2,2,8,17,6,0,5,6,0,0,0,5,13,2,5,8,0,0,5,37,3,0,4,10,23,10,0,12,0,4,0,4,13,0,0,3,2,2,0,0,0,2,0,0,0,0,0,4,0,3,0,0,0,0,0,2,5,0,0,0,0,0
Vexilliferidae,9,21,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,12,0,0,0,3,0,4,0,9,8,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warnowiaceae,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,37,0,0,27,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,39,0,0,20,0,0,0,0,0,0,0,0,8,0,9,0,0,0
Watanabea-Clade_X:plas,0,0,0,0,3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xanthophyceae_XX,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Zygnemophyceae_XX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
